"","Species","Lake","Year","Length_cm","Weight_g","Age_years"
"1","Whitefish","Erie",2019,71,523,1
"2","Smallmouth Bass","Superior",2020,10.8,862,7
"3","Lake Trout","Erie",2017,19,1282,5
"4","Smallmouth Bass","Ontario",2022,43.4,234,3
"5","Smallmouth Bass","Michigan",2015,31.3,1416,9
"6","Yellow Perch","Michigan",2020,43.9,1104,1
"7","Lake Trout","Michigan",2018,38.9,925,1
"8","Lake Trout","Superior",2015,24.6,670,1
"9","Lake Trout","Ontario",2021,59.3,762,3
"10","Smallmouth Bass","Erie",2023,47,1299,6
"11","Whitefish","Huron",2018,31.6,936,3
"12","Lake Trout","Erie",2018,62.6,749,8
"13","Northern Pike","Huron",2020,32.4,1234,2
"14","Smallmouth Bass","Erie",2017,21.4,1254,9
"15","Yellow Perch","Ontario",2020,42.8,375,3
"16","Whitefish","Huron",2021,45.3,1286,5
"17","Northern Pike","Superior",2017,48,2251,8
"18","Northern Pike","Erie",2021,50.4,1235,2
"19","Yellow Perch","Erie",2017,47.7,150,6
"20","Whitefish","Huron",2016,47.1,1089,5
"21","Smallmouth Bass","Superior",2018,31.4,85,9
"22","Walleye","Superior",2022,29.8,2584,5
"23","Whitefish","Ontario",2023,51.1,2118,2
"24","Yellow Perch","Superior",2021,43.7,667,5
"25","Northern Pike","Superior",2015,52.3,50,4
"26","Smallmouth Bass","Superior",2017,14.4,561,7
"27","Whitefish","Michigan",2023,32.5,910,6
"28","Walleye","Ontario",2015,68.6,119,2
"29","Walleye","Erie",2023,48.3,965,5
"30","Lake Trout","Huron",2022,44.4,906,7
"31","Lake Trout","Erie",2015,50.6,1063,7
"32","Yellow Perch","Ontario",2020,73.1,1115,5
"33","Whitefish","Huron",2019,70,517,9
"34","Whitefish","Ontario",2020,16.3,573,4
"35","Northern Pike","Superior",2019,21.8,1023,3
"36","Northern Pike","Huron",2020,15.8,685,4
"37","Northern Pike","Superior",2019,28.8,1454,5
"38","Lake Trout","Erie",2019,40.8,1018,6
"39","Whitefish","Erie",2018,43.6,1933,3
"40","Whitefish","Huron",2017,17,1410,2
"41","Walleye","Huron",2017,12,1552,4
"42","Lake Trout","Ontario",2018,28.5,1066,5
"43","Smallmouth Bass","Ontario",2023,53.7,1079,4
"44","Lake Trout","Superior",2016,56.4,1866,3
"45","Smallmouth Bass","Huron",2023,65.6,811,8
"46","Walleye","Erie",2015,39.5,1273,4
"47","Yellow Perch","Ontario",2015,52.4,867,2
"48","Whitefish","Ontario",2019,55.1,866,2
"49","Walleye","Erie",2020,32.5,416,1
"50","Whitefish","Ontario",2020,45.8,629,4
"51","Northern Pike","Superior",2017,49.9,536,9
"52","Yellow Perch","Huron",2021,26.4,1297,7
"53","Yellow Perch","Erie",2023,64.6,1520,7
"54","Walleye","Huron",2022,39.4,953,7
"55","Yellow Perch","Ontario",2020,41.3,1115,8
"56","Smallmouth Bass","Ontario",2022,25.8,924,1
"57","Yellow Perch","Erie",2019,28.3,595,8
"58","Whitefish","Superior",2022,7.1,1431,4
"59","Whitefish","Michigan",2018,40.8,1326,4
"60","Whitefish","Erie",2022,77.6,54,4
"61","Whitefish","Michigan",2016,24.7,858,6
"62","Smallmouth Bass","Michigan",2019,84.6,559,7
"63","Lake Trout","Superior",2023,61.2,805,6
"64","Northern Pike","Michigan",2018,32.9,665,1
"65","Walleye","Michigan",2020,40.4,977,8
"66","Whitefish","Superior",2015,38,835,7
"67","Yellow Perch","Michigan",2023,65.6,824,6
"68","Whitefish","Michigan",2015,47.8,1554,6
"69","Yellow Perch","Michigan",2019,57.7,1279,5
"70","Northern Pike","Erie",2018,45.4,648,6
"71","Northern Pike","Erie",2017,38.3,722,9
"72","Northern Pike","Erie",2020,44.9,1246,9
"73","Yellow Perch","Superior",2016,33.9,1245,8
"74","Whitefish","Ontario",2017,18.2,698,9
"75","Northern Pike","Michigan",2019,52.2,883,8
"76","Smallmouth Bass","Michigan",2023,17.5,1923,8
"77","Yellow Perch","Superior",2016,36,707,1
"78","Yellow Perch","Michigan",2022,33.4,1955,5
"79","Whitefish","Erie",2016,49.7,1552,4
"80","Yellow Perch","Ontario",2019,63.5,1863,2
"81","Yellow Perch","Huron",2021,58.1,685,8
"82","Northern Pike","Michigan",2022,50.1,916,3
"83","Whitefish","Erie",2015,30.6,775,4
"84","Northern Pike","Huron",2020,37.2,1563,7
"85","Northern Pike","Ontario",2015,35.1,716,9
"86","Whitefish","Huron",2016,32.9,1366,2
"87","Walleye","Erie",2015,34,1339,3
"88","Northern Pike","Huron",2019,33.6,976,4
"89","Smallmouth Bass","Superior",2023,32.9,1649,1
"90","Smallmouth Bass","Huron",2020,54.3,1054,7
"91","Yellow Perch","Michigan",2015,24.2,1417,2
"92","Smallmouth Bass","Michigan",2015,29.1,753,5
"93","Yellow Perch","Superior",2016,16.2,638,1
"94","Walleye","Erie",2023,61.2,1366,3
"95","Whitefish","Michigan",2017,28.1,1215,2
"96","Whitefish","Ontario",2015,49.9,1122,1
"97","Whitefish","Michigan",2019,47.1,828,7
"98","Smallmouth Bass","Michigan",2021,59.8,1775,5
"99","Walleye","Erie",2020,36.8,442,1
"100","Smallmouth Bass","Huron",2015,25.8,414,6
"101","Smallmouth Bass","Michigan",2019,16.7,1471,5
"102","Walleye","Superior",2019,5,1430,3
"103","Walleye","Huron",2020,42.4,1177,7
"104","Walleye","Ontario",2017,51.6,856,9
"105","Walleye","Erie",2019,47.1,1251,9
"106","Whitefish","Ontario",2021,17.1,1860,9
"107","Lake Trout","Huron",2019,55.6,2258,2
"108","Lake Trout","Huron",2019,29.5,172,3
"109","Walleye","Huron",2019,26.4,791,7
"110","Lake Trout","Ontario",2017,29.2,759,5
"111","Lake Trout","Huron",2015,41.2,1813,2
"112","Walleye","Ontario",2019,17.7,50,3
"113","Lake Trout","Huron",2023,39.4,1257,6
"114","Smallmouth Bass","Superior",2015,46.4,872,7
"115","Yellow Perch","Huron",2017,56.6,1819,9
"116","Yellow Perch","Ontario",2018,42.6,1751,1
"117","Walleye","Michigan",2015,19.9,1183,7
"118","Whitefish","Huron",2015,42.2,210,8
"119","Walleye","Michigan",2022,24.1,713,3
"120","Whitefish","Superior",2016,23.2,768,4
"121","Yellow Perch","Erie",2022,19.6,337,6
"122","Walleye","Superior",2021,11.3,1577,7
"123","Northern Pike","Huron",2016,31.5,273,4
"124","Smallmouth Bass","Michigan",2020,56.9,1983,8
"125","Lake Trout","Michigan",2020,73.8,1981,5
"126","Whitefish","Ontario",2017,31.4,807,1
"127","Northern Pike","Michigan",2016,56.3,1164,4
"128","Lake Trout","Ontario",2015,34.1,964,3
"129","Lake Trout","Erie",2020,15.2,1451,9
"130","Walleye","Huron",2019,50.5,1637,8
"131","Lake Trout","Ontario",2023,43.5,1129,1
"132","Smallmouth Bass","Erie",2015,67.3,1235,6
"133","Northern Pike","Michigan",2021,17,690,9
